Stress_Level,Sector,Increased_Work_Hours,Work_From_Home,Hours_Worked_Per_Day,Meetings_Per_Day,Productivity_Change,Health_Issue,Job_Security,Childcare_Responsibilities,Commuting_Changes,Technology_Adaptation,Salary_Changes,Team_Collaboration_Challenges,Affected_by_Covid
Low,Retail,1,1,6.392.393.639.805.820,26.845.944.014.488.700,1,0,0,1,1,1,0,1,1
Low,IT,1,1,9.171.983.537.957.560,33.392.245.834.602.800,1,0,1,0,1,1,0,1,1
Medium,Retail,1,0,10.612.560.951.456.400,2.218.332.712.302.110,0,0,0,0,0,0,0,0,1
Medium,Education,1,1,5.546.168.647.409.510,5.150.566.193.312.910,0,0,0,0,1,0,0,0,1
Medium,Education,0,1,11.424.615.456.733.800,31.211.255.258.841.200,1,0,1,1,1,0,1,1,1
Low,IT,1,1,7.742.897.931.229.740,-5.829.769.194.792.650,1,1,0,1,1,1,0,1,1
Medium,IT,0,0,6.049.957.230.122.970,7.695.663.547.494.890,0,0,0,1,0,1,0,1,1
High,Healthcare,1,1,9.515.509.560.416.360,3.144.098.292.267.520,0,1,0,0,1,1,0,1,1
Medium,Education,1,1,7.107.091.043.489.900,31.351.136.117.712.800,0,1,1,0,0,0,0,1,1
High,Education,1,1,7.836.526.647.937.010,650.741.753.899.055,0,1,0,1,1,1,0,1,1
Medium,IT,0,1,7.191.443.511.575.840,21.876.228.238.037.200,0,0,0,1,1,1,0,1,1
Medium,Education,0,1,63.665.241.362.702,570.490.882.979.975,0,0,0,0,0,1,0,1,1
Medium,Healthcare,1,1,9.447.994.064.803.800,31.188.363.348.639.600,1,0,0,0,1,1,1,1,1
Medium,Retail,0,1,74.273.971.942.116.200,2.014.306.833.104.710,1,1,0,1,1,1,0,1,1
Medium,IT,0,1,5.126.696.415.641.500,6.558.576.642.067.200,1,0,0,0,0,0,0,1,1
High,Healthcare,0,0,9.102.120.248.431.860,5.384.645.420.593.790,1,0,1,0,0,0,0,1,1
Medium,IT,1,0,5.588.835.297.952.480,5.380.001.476.772.560,0,0,0,1,1,0,1,1,1
Medium,Healthcare,1,1,5.693.479.654.649.480,4.551.483.320.183.160,0,0,0,1,1,0,0,1,1
High,Retail,1,0,10.385.212.409.954.600,489.865.244.961.652,1,1,0,0,1,1,0,1,1
High,Healthcare,0,1,5.607.320.201.579.570,21.517.629.628.779.300,1,0,0,0,0,0,0,1,1
Medium,Healthcare,1,0,3.367.110.286.145.010,4.167.416.285.866.990,1,0,0,1,0,0,1,1,1
Low,Education,0,0,924.572.296.992.299,26.068.554.993.237.300,0,0,0,0,1,0,0,1,1
High,Healthcare,0,1,7.392.273.141.037.730,1.916.589.221.405.410,0,0,1,1,1,0,1,0,1
Medium,IT,1,0,7.564.689.757.723.760,4.616.429.996.062.040,0,0,0,0,0,1,1,0,1
Medium,IT,1,1,73.709.992.132.996,57.372.243.334.893.100,0,0,0,0,1,1,0,0,1
High,Education,1,0,8.463.339.878.037.450,34.249.467.636.579.000,0,1,0,1,0,1,1,1,1
High,Education,0,1,6.494.561.516.193.860,3.681.980.661.498.180,1,1,0,0,1,0,0,1,1
Medium,Education,1,1,1.095.222.974.913.150,229.277.403.237.544,0,0,1,0,0,1,0,1,1
Medium,Retail,1,1,5.047.539.039.381.200,4.010.825.719.131.840,1,1,0,1,0,0,0,1,1
High,IT,0,1,8.889.749.833.354.240,5.140.114.168.582.620,1,0,1,0,1,0,0,1,1
